index  confidence   rules
 296   1.000        [0.0, 130.0, 19.6]=>[100.0]
 297   1.000        [130.0, 19.6, 100.0]=>[0.0]
 298   1.000        [0.0, 19.6]=>[130.0, 100.0]
 299   1.000        [130.0, 19.6]=>[0.0, 100.0]
 300   1.000        [19.6, 100.0]=>[0.0, 130.0]
 301   1.000        [140.0, 100.0, 20.4]=>[130.0]
 302   1.000        [130.0, 100.0, 20.4]=>[140.0]
 303   1.000        [130.0, 140.0, 20.4]=>[100.0]
 304   1.000        [100.0, 20.4]=>[130.0, 140.0]
 305   1.000        [130.0, 20.4]=>[100.0, 140.0]
 306   1.000        [140.0, 20.4]=>[130.0, 100.0]
 307   1.000        [140.0, 100.0, 20.9]=>[130.0]
 308   1.000        [130.0, 100.0, 20.9]=>[140.0]
 309   1.000        [130.0, 140.0, 20.9]=>[100.0]
 310   1.000        [100.0, 20.9]=>[130.0, 140.0]
 311   1.000        [130.0, 20.9]=>[100.0, 140.0]
 312   1.000        [140.0, 20.9]=>[130.0, 100.0]
 313   1.000        [0.0, 100.0, 21.1]=>[130.0]
 314   1.000        [0.0, 130.0, 21.1]=>[100.0]
 315   1.000        [130.0, 100.0, 21.1]=>[0.0]
 316   1.000        [0.0, 21.1]=>[130.0, 100.0]
 317   1.000        [130.0, 21.1]=>[0.0, 100.0]
 318   1.000        [100.0, 21.1]=>[0.0, 130.0]
 319   1.000        [0.0, 100.0, 21.6]=>[130.0]
 320   1.000        [0.0, 130.0, 21.6]=>[100.0]
 321   1.000        [130.0, 100.0, 21.6]=>[0.0]
 322   1.000        [0.0, 21.6]=>[130.0, 100.0]
 323   1.000        [130.0, 21.6]=>[0.0, 100.0]
 324   1.000        [100.0, 21.6]=>[0.0, 130.0]
 325   1.000        [140.0, 100.0, 20.7]=>[130.0]
 326   1.000        [130.0, 100.0, 20.7]=>[140.0]
 327   1.000        [130.0, 140.0, 20.7]=>[100.0]
 328   1.000        [100.0, 20.7]=>[130.0, 140.0]
 329   1.000        [130.0, 20.7]=>[100.0, 140.0]
 330   1.000        [140.0, 20.7]=>[130.0, 100.0]
 331   1.000        [0.0, 100.0, 20.5]=>[130.0]
 332   1.000        [0.0, 130.0, 20.5]=>[100.0]
 333   1.000        [130.0, 100.0, 20.5]=>[0.0]
 334   1.000        [0.0, 20.5]=>[130.0, 100.0]
 335   1.000        [130.0, 20.5]=>[0.0, 100.0]
 336   1.000        [100.0, 20.5]=>[0.0, 130.0]
 337   1.000        [96.0, 0.0, 140.0]=>[130.0]
 338   1.000        [96.0, 0.0, 130.0]=>[140.0]
 339   1.000        [96.0, 130.0, 140.0]=>[0.0]
 340   1.000        [96.0, 130.0]=>[0.0, 140.0]
 341   1.000        [96.0, 0.0]=>[130.0, 140.0]
 342   1.000        [96.0, 140.0]=>[0.0, 130.0]
 343   1.000        [96.0]=>[0.0, 130.0, 140.0]
 344   1.000        [0.0, 140.0, 21.2]=>[130.0]
 345   1.000        [0.0, 130.0, 21.2]=>[140.0]
 346   1.000        [130.0, 140.0, 21.2]=>[0.0]
 347   1.000        [130.0, 21.2]=>[0.0, 140.0]
 348   1.000        [0.0, 21.2]=>[130.0, 140.0]
 349   1.000        [140.0, 21.2]=>[0.0, 130.0]
 350   1.000        [140.0, 100.0, 20.6]=>[130.0]
 351   1.000        [130.0, 100.0, 20.6]=>[140.0]
 352   1.000        [130.0, 140.0, 20.6]=>[100.0]
 353   1.000        [100.0, 20.6]=>[130.0, 140.0]
 354   1.000        [130.0, 20.6]=>[100.0, 140.0]
 355   1.000        [140.0, 20.6]=>[130.0, 100.0]
 356   1.000        [97.0, 100.0, 140.0]=>[130.0]
 357   1.000        [97.0, 130.0, 100.0]=>[140.0]
 358   1.000        [97.0, 130.0, 140.0]=>[100.0]
 359   1.000        [97.0, 100.0]=>[130.0, 140.0]
 360   1.000        [97.0, 130.0]=>[100.0, 140.0]
 361   1.000        [97.0, 140.0]=>[130.0, 100.0]
 362   1.000        [97.0]=>[100.0, 130.0, 140.0]
 363   1.000        [140.0, 100.0, 21.4]=>[130.0]
 364   1.000        [130.0, 100.0, 21.4]=>[140.0]
 365   1.000        [130.0, 140.0, 21.4]=>[100.0]
 366   1.000        [100.0, 21.4]=>[130.0, 140.0]
 367   1.000        [130.0, 21.4]=>[100.0, 140.0]
 368   1.000        [140.0, 21.4]=>[130.0, 100.0]
 369   1.000        [140.0, 100.0, 20.5]=>[130.0]
 370   1.000        [130.0, 100.0, 20.5]=>[140.0]
 371   1.000        [130.0, 140.0, 20.5]=>[100.0]
 372   1.000        [100.0, 20.5]=>[130.0, 140.0]
 373   1.000        [130.0, 20.5]=>[100.0, 140.0]
 374   1.000        [140.0, 20.5]=>[130.0, 100.0]
 375   1.000        [0.0, 100.0, 21.0]=>[140.0]
 376   1.000        [0.0, 140.0, 21.0]=>[100.0]
 377   1.000        [140.0, 100.0, 21.0]=>[0.0]
 378   1.000        [100.0, 21.0]=>[0.0, 140.0]
 379   1.000        [0.0, 21.0]=>[100.0, 140.0]
 380   1.000        [140.0, 21.0]=>[0.0, 100.0]
 381   1.000        [0.0, 100.0, 21.2]=>[130.0]
 382   1.000        [0.0, 130.0, 21.2]=>[100.0]
 383   1.000        [130.0, 100.0, 21.2]=>[0.0]
 384   1.000        [0.0, 21.2]=>[130.0, 100.0]
 385   1.000        [130.0, 21.2]=>[0.0, 100.0]
 386   1.000        [100.0, 21.2]=>[0.0, 130.0]
 387   1.000        [96.0, 0.0, 100.0]=>[130.0]
 388   1.000        [96.0, 0.0, 130.0]=>[100.0]
 389   1.000        [96.0, 130.0, 100.0]=>[0.0]
 390   1.000        [96.0, 0.0]=>[130.0, 100.0]
 391   1.000        [96.0, 130.0]=>[0.0, 100.0]
 392   1.000        [96.0, 100.0]=>[0.0, 130.0]
 393   1.000        [96.0]=>[0.0, 130.0, 100.0]
 394   1.000        [0.0, 140.0, 20.5]=>[130.0]
 395   1.000        [0.0, 130.0, 20.5]=>[140.0]
 396   1.000        [130.0, 140.0, 20.5]=>[0.0]
 397   1.000        [130.0, 20.5]=>[0.0, 140.0]
 398   1.000        [0.0, 20.5]=>[130.0, 140.0]
 399   1.000        [140.0, 20.5]=>[0.0, 130.0]
 400   1.000        [0.0, 100.0, 20.3]=>[140.0]
 401   1.000        [0.0, 140.0, 20.3]=>[100.0]
 402   1.000        [140.0, 100.0, 20.3]=>[0.0]
 403   1.000        [100.0, 20.3]=>[0.0, 140.0]
 404   1.000        [0.0, 20.3]=>[100.0, 140.0]
 405   1.000        [140.0, 20.3]=>[0.0, 100.0]
 406   1.000        [0.0, 195.0, 100.0]=>[140.0]
 407   1.000        [0.0, 195.0, 140.0]=>[100.0]
 408   1.000        [140.0, 195.0, 100.0]=>[0.0]
 409   1.000        [195.0, 100.0]=>[0.0, 140.0]
 410   1.000        [0.0, 195.0]=>[100.0, 140.0]
 411   1.000        [195.0, 140.0]=>[0.0, 100.0]
 412   1.000        [195.0]=>[100.0, 0.0, 140.0]
 413   1.000        [0.0, 100.0, 20.8]=>[140.0]
 414   1.000        [0.0, 140.0, 20.8]=>[100.0]
 415   1.000        [140.0, 100.0, 20.8]=>[0.0]
 416   1.000        [100.0, 20.8]=>[0.0, 140.0]
 417   1.000        [0.0, 20.8]=>[100.0, 140.0]
 418   1.000        [140.0, 20.8]=>[0.0, 100.0]
 419   1.000        [0.0, 140.0, 21.6]=>[130.0]
 420   1.000        [0.0, 130.0, 21.6]=>[140.0]
 421   1.000        [130.0, 140.0, 21.6]=>[0.0]
 422   1.000        [130.0, 21.6]=>[0.0, 140.0]
 423   1.000        [0.0, 21.6]=>[130.0, 140.0]
 424   1.000        [140.0, 21.6]=>[0.0, 130.0]
 425   1.000        [0.0, 140.0, 21.1]=>[130.0]
 426   1.000        [0.0, 130.0, 21.1]=>[140.0]
 427   1.000        [130.0, 140.0, 21.1]=>[0.0]
 428   1.000        [130.0, 21.1]=>[0.0, 140.0]
 429   1.000        [0.0, 21.1]=>[130.0, 140.0]
 430   1.000        [140.0, 21.1]=>[0.0, 130.0]
 431   1.000        [0.0, 100.0, 20.4]=>[140.0]
 432   1.000        [0.0, 140.0, 20.4]=>[100.0]
 433   1.000        [140.0, 100.0, 20.4]=>[0.0]
 434   1.000        [100.0, 20.4]=>[0.0, 140.0]
 435   1.000        [0.0, 20.4]=>[100.0, 140.0]
 436   1.000        [140.0, 20.4]=>[0.0, 100.0]
 437   1.000        [0.0, 19.6, 140.0]=>[130.0]
 438   1.000        [0.0, 130.0, 19.6]=>[140.0]
 439   1.000        [130.0, 19.6, 140.0]=>[0.0]
 440   1.000        [130.0, 19.6]=>[0.0, 140.0]
 441   1.000        [0.0, 19.6]=>[130.0, 140.0]
 442   1.000        [19.6, 140.0]=>[0.0, 130.0]
 443   1.000        [0.0, 100.0, 20.9]=>[140.0]
 444   1.000        [0.0, 140.0, 20.9]=>[100.0]
 445   1.000        [140.0, 100.0, 20.9]=>[0.0]
 446   1.000        [100.0, 20.9]=>[0.0, 140.0]
 447   1.000        [0.0, 20.9]=>[100.0, 140.0]
 448   1.000        [140.0, 20.9]=>[0.0, 100.0]
 449   1.000        [140.0, 100.0, 21.2]=>[130.0]
 450   1.000        [130.0, 100.0, 21.2]=>[140.0]
 451   1.000        [130.0, 140.0, 21.2]=>[100.0]
 452   1.000        [100.0, 21.2]=>[130.0, 140.0]
 453   1.000        [130.0, 21.2]=>[100.0, 140.0]
 454   1.000        [140.0, 21.2]=>[130.0, 100.0]
 455   1.000        [0.0, 100.0, 21.3]=>[140.0]
 456   1.000        [0.0, 140.0, 21.3]=>[100.0]
 457   1.000        [140.0, 100.0, 21.3]=>[0.0]
 458   1.000        [100.0, 21.3]=>[0.0, 140.0]
 459   1.000        [0.0, 21.3]=>[100.0, 140.0]
 460   1.000        [140.0, 21.3]=>[0.0, 100.0]
 461   1.000        [96.0, 140.0, 100.0]=>[130.0]
 462   1.000        [96.0, 130.0, 100.0]=>[140.0]
 463   1.000        [96.0, 130.0, 140.0]=>[100.0]
 464   1.000        [96.0, 100.0]=>[130.0, 140.0]
 465   1.000        [96.0, 130.0]=>[100.0, 140.0]
 466   1.000        [96.0, 140.0]=>[130.0, 100.0]
 467   1.000        [96.0]=>[100.0, 130.0, 140.0]
 468   1.000        [0.0, 140.0, 20.2]=>[130.0]
 469   1.000        [0.0, 130.0, 20.2]=>[140.0]
 470   1.000        [130.0, 140.0, 20.2]=>[0.0]
 471   1.000        [130.0, 20.2]=>[0.0, 140.0]
 472   1.000        [0.0, 20.2]=>[130.0, 140.0]
 473   1.000        [140.0, 20.2]=>[0.0, 130.0]
 474   1.000        [0.0, 140.0, 20.7]=>[130.0]
 475   1.000        [0.0, 130.0, 20.7]=>[140.0]
 476   1.000        [130.0, 140.0, 20.7]=>[0.0]
 477   1.000        [130.0, 20.7]=>[0.0, 140.0]
 478   1.000        [0.0, 20.7]=>[130.0, 140.0]
 479   1.000        [140.0, 20.7]=>[0.0, 130.0]
 480   1.000        [0.0, 100.0, 21.0]=>[130.0]
 481   1.000        [0.0, 130.0, 21.0]=>[100.0]
 482   1.000        [130.0, 100.0, 21.0]=>[0.0]
 483   1.000        [0.0, 21.0]=>[130.0, 100.0]
 484   1.000        [130.0, 21.0]=>[0.0, 100.0]
 485   1.000        [100.0, 21.0]=>[0.0, 130.0]
 486   1.000        [0.0, 100.0, 20.6]=>[140.0]
 487   1.000        [0.0, 140.0, 20.6]=>[100.0]
 488   1.000        [140.0, 100.0, 20.6]=>[0.0]
 489   1.000        [100.0, 20.6]=>[0.0, 140.0]
 490   1.000        [0.0, 20.6]=>[100.0, 140.0]
 491   1.000        [140.0, 20.6]=>[0.0, 100.0]
 492   1.000        [0.0, 140.0, 21.4]=>[130.0]
 493   1.000        [0.0, 130.0, 21.4]=>[140.0]
 494   1.000        [130.0, 140.0, 21.4]=>[0.0]
 495   1.000        [130.0, 21.4]=>[0.0, 140.0]
 496   1.000        [0.0, 21.4]=>[130.0, 140.0]
 497   1.000        [140.0, 21.4]=>[0.0, 130.0]
 498   1.000        [140.0, 100.0, 21.0]=>[130.0]
 499   1.000        [130.0, 100.0, 21.0]=>[140.0]
 500   1.000        [130.0, 140.0, 21.0]=>[100.0]
 501   1.000        [100.0, 21.0]=>[130.0, 140.0]
 502   1.000        [130.0, 21.0]=>[100.0, 140.0]
 503   1.000        [140.0, 21.0]=>[130.0, 100.0]
 504   1.000        [140.0, 100.0, 20.8]=>[130.0]
 505   1.000        [130.0, 100.0, 20.8]=>[140.0]
 506   1.000        [130.0, 140.0, 20.8]=>[100.0]
 507   1.000        [100.0, 20.8]=>[130.0, 140.0]
 508   1.000        [130.0, 20.8]=>[100.0, 140.0]
 509   1.000        [140.0, 20.8]=>[130.0, 100.0]
 510   1.000        [140.0, 195.0, 100.0]=>[130.0]
 511   1.000        [130.0, 195.0, 100.0]=>[140.0]
