index  confidence   rules
 262   0.998        ['15125', '14970', '15227', '15117', '15155', '15180']=>['14773']
 263   0.998        ['14970', '15227', '14773', '15117', '15155', '15180']=>['15125']
 264   0.998        ['15125', '14867', '14970', '15526', '15117', '15180']=>['14773']
 265   0.998        ['14867', '14970', '15526', '14773', '15117', '15180']=>['15125']
 266   0.998        ['15526', '15227', '15117', '15165']=>['14773']
 267   0.998        ['15526', '15227', '15117', '15165']=>['15125']
 268   0.998        ['15117', '15155', '14970', '15165']=>['14773']
 269   0.998        ['15125', '15526', '15227', '15117', '15165']=>['14773']
 270   0.998        ['15526', '15227', '15117', '14773', '15165']=>['15125']
 271   0.998        ['15125', '15227', '15165', '14867']=>['14773']
 272   0.998        ['15227', '15117', '14970', '15165']=>['15125']
 273   0.998        ['15227', '15117', '14970', '15165']=>['14773']
 274   0.998        ['15125', '14867', '14970', '15155', '15180']=>['14773']
 275   0.998        ['14867', '14970', '15526', '15227', '15180']=>['14773']
 276   0.998        ['15125', '14970', '15526', '15155', '15165']=>['14773']
 277   0.998        ['15526', '15117', '15155', '15165']=>['14773']
 278   0.998        ['14889', '15009', '15129', '15202']=>['14867']
 279   0.998        ['15180', '15125', '15165', '14970']=>['14773']
 280   0.998        ['15125', '14867', '15117', '15155', '15180']=>['14773']
 281   0.998        ['15125', '14970', '15227', '15117', '15165']=>['14773']
 282   0.998        ['14970', '15227', '14773', '15117', '15165']=>['15125']
 283   0.998        ['14970', '15526', '15227', '15117', '15155', '15180']=>['15125']
 284   0.998        ['14970', '15526', '15227', '15117', '15155', '15180']=>['14773']
 285   0.998        ['15200', '14132', '14984', '14825']=>['15180']
 286   0.998        ['14867', '14970', '15227', '15117', '15155']=>['15125']
 287   0.998        ['14867', '14970', '15227', '15117', '15155']=>['14773']
 288   0.998        ['15125', '14867', '14970', '15526', '15227', '15180']=>['14773']
 289   0.998        ['15125', '14970', '15526', '15227', '15117', '15155', '15180']=>['14773']
 290   0.998        ['14970', '15526', '15227', '15117', '15155', '14773', '15180']=>['15125']
 291   0.998        ['15125', '15227', '15165', '15155']=>['14773']
 292   0.998        ['15125', '15117', '14867', '15165']=>['14773']
 293   0.998        ['15125', '15526', '15117', '15155', '15165']=>['14773']
 294   0.998        ['15125', '14867', '15227', '15117', '15180']=>['14773']
 295   0.998        ['14867', '15227', '14773', '15117', '15180']=>['15125']
 296   0.998        ['15125', '14867', '14970', '15227', '15117', '15155']=>['14773']
 297   0.998        ['14867', '14970', '15227', '14773', '15117', '15155']=>['15125']
 298   0.998        ['15180', '15125', '15117', '15165']=>['14773']
 299   0.998        ['15125', '14970', '15117', '15155', '15165']=>['14773']
 300   0.998        ['14970', '15526', '15227', '15117', '15165']=>['15125']
 301   0.998        ['15125', '14867', '14970', '15526', '15165']=>['14773']
 302   0.998        ['14970', '15526', '15227', '15117', '15165']=>['14773']
 303   0.998        ['15125', '14867', '14970', '15526', '15155', '15180']=>['14773']
 304   0.998        ['15125', '14867', '15526', '15227', '15165']=>['14773']
 305   0.998        ['14867', '15526', '15227', '14773', '15165']=>['15125']
 306   0.998        ['14867', '15526', '15117', '15155', '15180']=>['14773']
 307   0.998        ['14867', '15526', '15117', '15155', '15180']=>['15125']
 308   0.998        ['15125', '14970', '15526', '15180', '15165']=>['14773']
 309   0.998        ['15125', '14970', '15526', '15227', '15117', '15165']=>['14773']
 310   0.998        ['14970', '15526', '15227', '15117', '14773', '15165']=>['15125']
 311   0.998        ['14867', '14970', '15526', '15227', '15117', '15155']=>['15125']
