0,1,2,3,4,5,6,7,8,9,10,11,12,13
3.0,58.0,58.0,85.0,100.0,107.3,35.0,35.0,100.0,107.3,131.0,58.0,100.0,56.2
3.0,66.0,63.0,85.0,100.0,106.5,37.0,35.0,94.0,106.5,134.0,66.0,99.0,55.3
3.0,66.0,64.0,85.0,100.0,106.2,35.0,35.0,99.0,106.2,135.0,66.0,99.0,55.3
3.0,66.0,65.0,85.0,101.0,105.7,34.0,34.0,96.0,105.7,127.0,66.0,101.0,56.3
3.0,66.0,66.0,85.0,100.0,105.6,34.0,35.0,97.0,105.6,140.0,66.0,101.0,56.3
1.0,104.0,1.0,85.0,100.0,105.4,37.0,34.0,91.0,105.4,136.0,104.0,100.0,53.7
1.0,104.0,2.0,85.0,101.0,106.4,37.0,35.0,95.0,106.4,134.0,104.0,100.0,53.7
1.0,104.0,3.0,85.0,101.0,106.7,36.0,35.0,99.0,106.7,130.0,104.0,101.0,54.1
1.0,104.0,4.0,85.0,100.0,107.3,36.0,35.0,99.0,107.3,132.0,104.0,100.0,54.1
1.0,104.0,5.0,85.0,100.0,106.4,34.0,35.0,100.0,106.4,133.0,104.0,101.0,54.3
1.0,104.0,6.0,85.0,100.0,106.3,34.0,35.0,99.0,106.3,127.0,104.0,101.0,54.3
1.0,104.0,7.0,85.0,100.0,105.5,34.0,34.0,99.0,105.5,137.0,104.0,100.0,54.7
1.0,104.0,8.0,85.0,102.0,106.4,34.0,35.0,98.0,106.4,122.0,104.0,100.0,54.7
1.0,104.0,9.0,85.0,100.0,105.0,36.0,35.0,92.0,105.0,132.0,104.0,100.0,55.8
1.0,104.0,10.0,85.0,100.0,106.2,36.0,35.0,98.0,106.2,132.0,104.0,100.0,55.8
1.0,104.0,11.0,85.0,101.0,106.5,36.0,35.0,98.0,106.5,124.0,104.0,100.0,55.8
1.0,104.0,12.0,85.0,101.0,106.2,34.0,35.0,100.0,106.2,128.0,104.0,101.0,55.8
1.0,104.0,13.0,85.0,100.0,106.9,35.0,35.0,99.0,106.9,130.0,104.0,100.0,55.6
1.0,104.0,14.0,85.0,101.0,105.2,33.0,35.0,99.0,105.2,128.0,104.0,100.0,55.6
