Col1,Col2
-0.02969873,-1.3233804
0.018496513,-1.3203899
0.07663798,-1.3245038
0.13661295,-1.3314253
0.19605285,-1.3384076
0.25398815,-1.3461808
0.31309402,-1.3553255
0.37140322,-1.3650024
0.42922455,-1.3742622
0.48649377,-1.382973
0.5475337,-1.3901001
0.60980135,-1.3899394
0.6670005,-1.3917352
0.72165006,-1.3931024
0.7587257,-1.3910072
0.79419845,-1.3874274
0.82883245,-1.3827114
0.8625365,-1.376764
0.9038351,-1.3529894
0.943499,-1.3285178
0.98142,-1.3049597
1.0190425,-1.2804115
1.0518076,-1.2564645
1.0781407,-1.2307985
1.1033278,-1.2039207
1.12711,-1.1758174
1.1430655,-1.1470929
1.1578829,-1.1173213
1.171555,-1.0865433
1.1840818,-1.0548087
1.1966004,-1.0209605
1.2098713,-0.9844655
1.2219257,-0.9472865
1.232795,-0.9094914
1.2430937,-0.8727124
1.2527001,-0.837487
1.2612255,-0.8018466
1.2679796,-0.768419
1.2740531,-0.73269975
1.2791293,-0.69663644
1.2832842,-0.6602993
1.2869112,-0.6238836
1.2913892,-0.58262146
1.29498,-0.5412415
1.2977893,-0.49981132
1.2999189,-0.45838848
1.3016412,-0.41121235
1.302736,-0.36416644
1.3033245,-0.31729564
1.3035138,-0.2706334
1.3042786,-0.21547756
1.305134,-0.16131142
1.3059692,-0.10467014
1.3067198,-0.04793501
1.3032975,0.0051057413
1.2935383,0.05813704
1.2838373,0.11084378
1.2741833,0.16322753
1.2642164,0.21705247
1.2543323,0.27058583
1.2470355,0.32267487
1.2409501,0.37271854
1.2342205,0.42446476
1.2269518,0.47568393
1.2189767,0.5262909
1.210623,0.57560873
1.2041256,0.61611855
1.1966288,0.6559385
1.1879952,0.6949688
